direction,entry_time,exit_time,entry_price,exit_price,pnl_pct,exit_type
SHORT,2022-06-22 21:00:00,2022-06-23 00:25:00,19933.1,20232.096499999996,-1.5,SL
SHORT,2022-06-27 19:00:00,2022-06-28 08:50:00,20739.0,21050.085,-1.5,SL
SHORT,2022-06-28 09:40:00,2022-06-28 18:05:00,21054.2,20527.845,2.5,TP
SHORT,2022-06-28 18:35:00,2022-06-30 06:25:00,20347.0,19838.325,2.5,TP
SHORT,2022-06-30 07:30:00,2022-06-30 13:40:00,19417.0,18931.575,2.5,TP
SHORT,2022-06-30 14:10:00,2022-06-30 23:45:00,18959.8,19244.196999999996,-1.5,SL
SHORT,2022-07-01 02:30:00,2022-07-01 03:50:00,20333.0,19824.675,2.5,TP
SHORT,2022-07-01 05:20:00,2022-07-03 04:50:00,19493.6,19006.26,2.5,TP
LONG,2022-07-06 00:00:00,2022-07-06 01:45:00,20226.7,19923.2995,-1.5,SL
LONG,2022-07-06 22:00:00,2022-07-07 14:40:00,20365.5,20874.637499999997,2.5,TP
LONG,2022-07-07 15:05:00,2022-07-07 19:25:00,20883.1,21405.177499999998,2.5,TP
LONG,2022-07-07 20:00:00,2022-07-08 01:25:00,21638.3,22179.257499999996,2.5,TP
LONG,2022-07-08 02:05:00,2022-07-08 08:35:00,22077.6,21746.435999999998,-1.5,SL
LONG,2022-07-08 09:25:00,2022-07-10 04:10:00,21541.4,21218.279000000002,-1.5,SL
SHORT,2022-07-11 00:00:00,2022-07-11 21:45:00,20783.2,20263.62,2.5,TP
SHORT,2022-07-11 22:15:00,2022-07-12 09:45:00,20120.0,19617.0,2.5,TP
SHORT,2022-07-12 11:55:00,2022-07-13 12:35:00,19765.1,19270.9725,2.5,TP
SHORT,2022-07-13 13:35:00,2022-07-13 14:45:00,19245.7,19534.3855,-1.5,SL
SHORT,2022-07-13 15:20:00,2022-07-13 17:00:00,19530.0,19822.949999999997,-1.5,SL
LONG,2022-07-14 21:00:00,2022-07-16 16:10:00,20686.1,21203.252499999995,2.5,TP
