d,ets,ep,xts,xp,xt,pnl
LONG,2025-12-09 19:36:00,93933.0,2025-12-09 21:47:00,92462.6,SL,-1.7253710623529475
LONG,2025-12-09 21:57:00,92660.1,2025-12-11 00:42:00,91204.6,SL,-1.730794764952768
SHORT,2025-12-12 18:16:00,90402.1,2025-12-14 22:31:00,88066.8,TP,2.4232364513656237
SHORT,2025-12-14 22:31:00,88066.8,2025-12-15 02:04:00,89419.0,SL,-1.6954253816421136
SHORT,2025-12-15 02:46:00,89330.6,2025-12-15 15:18:00,87042.0,TP,2.401944059482423
SHORT,2025-12-15 16:41:00,86175.5,2025-12-16 13:25:00,87498.5,SL,-1.6952391340926365
SHORT,2025-12-16 13:26:00,87369.4,2025-12-17 14:53:00,88758.4,SL,-1.749801463670347
SHORT,2025-12-17 15:46:00,88222.8,2025-12-17 18:43:00,85799.9,TP,2.586342215391042
SHORT,2025-12-17 18:46:00,85800.0,2025-12-18 09:33:00,87154.0,SL,-1.738088578088578
SHORT,2025-12-18 16:21:00,88163.4,2025-12-18 17:17:00,85816.9,TP,2.501535285617388
SHORT,2025-12-18 18:56:00,85871.2,2025-12-19 03:30:00,87314.1,SL,-1.840307250859437
SHORT,2025-12-22 16:01:00,89686.2,2025-12-23 06:16:00,87400.0,TP,2.389110119505562
SHORT,2025-12-23 08:21:00,87529.8,2025-12-26 02:20:00,88950.1,SL,-1.7826473726662266
SHORT,2025-12-28 15:56:00,87829.9,2025-12-29 02:07:00,89173.3,SL,-1.6895474547961558
SHORT,2025-12-29 08:06:00,89499.9,2025-12-29 12:06:00,87167.8,TP,2.445701235420365
SHORT,2025-12-29 12:06:00,87167.8,2025-12-30 14:52:00,88798.2,SL,-2.030415451577296
SHORT,2025-12-31 12:06:00,88901.6,2026-01-02 16:31:00,90409.9,SL,-1.8565948869311555
LONG,2026-01-01 23:56:00,88799.0,2026-01-04 00:05:00,91231.5,TP,2.5793326501424563
LONG,2026-01-04 00:06:00,91363.8,2026-01-05 15:17:00,93705.5,TP,2.403050135830599
LONG,2026-01-05 15:21:00,93364.6,2026-01-06 17:48:00,91897.0,SL,-1.731901984263849
LONG,2026-01-12 05:06:00,92096.0,2026-01-12 08:37:00,90658.4,SL,-1.7209798471160591
LONG,2026-01-12 14:31:00,90418.3,2026-01-13 14:39:00,92684.8,TP,2.3466828285866907
LONG,2026-01-13 15:06:00,92400.0,2026-01-13 22:10:00,95908.7,TP,3.6372943722943694
LONG,2026-01-13 22:11:00,95284.5,2026-01-14 17:16:00,97680.5,TP,2.3545747734416405
LONG,2026-01-14 17:36:00,96925.5,2026-01-15 15:49:00,95440.1,SL,-1.6925172426244839
LONG,2026-01-15 16:01:00,96492.3,2026-01-16 15:19:00,94833.4,SL,-1.8792045375641462
SHORT,2026-01-20 00:06:00,92749.0,2026-01-20 14:48:00,90319.6,TP,2.4593274321016874
SHORT,2026-01-20 14:48:00,90319.6,2026-01-20 23:17:00,87854.4,TP,2.569418642243778
SHORT,2026-01-20 23:21:00,88112.3,2026-01-21 03:44:00,89518.6,SL,-1.7560314280753118
SHORT,2026-01-25 03:11:00,89128.9,2026-01-25 19:20:00,86700.3,TP,2.564817651738091
SHORT,2026-01-26 12:06:00,87844.4,2026-01-27 20:47:00,89192.5,SL,-1.6946453501873835
SHORT,2026-01-29 13:56:00,87946.7,2026-01-29 15:13:00,85536.0,TP,2.5810920477971284
SHORT,2026-01-29 16:36:00,84432.0,2026-01-30 01:41:00,82190.0,TP,2.495391320826227
SHORT,2026-01-30 04:41:00,82915.1,2026-01-30 19:03:00,84161.9,SL,-1.6637068037064278
SHORT,2026-01-30 20:11:00,83790.8,2026-01-31 14:26:00,81545.4,TP,2.519769139332729
SHORT,2026-02-09 08:06:00,70350.5,2026-02-09 10:36:00,68535.4,TP,2.420081165023711
SHORT,2026-02-10 11:56:00,68576.7,2026-02-10 16:14:00,69642.0,SL,-1.7134430790633013
SHORT,2026-02-11 06:11:00,67090.6,2026-02-11 14:10:00,68538.2,SL,-2.3176793172217733
SHORT,2026-02-11 14:36:00,67256.7,2026-02-12 13:58:00,68316.4,SL,-1.7356051070004879
SHORT,2026-02-15 16:11:00,68900.2,2026-02-16 13:02:00,69997.7,SL,-1.7528836200765745
SHORT,2026-02-23 00:56:00,67008.6,2026-02-23 01:15:00,65301.2,TP,2.388031148240686
SHORT,2026-02-23 03:46:00,64864.0,2026-02-23 07:05:00,65842.0,SL,-1.6677701036013812
SHORT,2026-02-23 08:06:00,65732.7,2026-02-23 20:12:00,64054.3,TP,2.3933714574328975
SHORT,2026-02-23 20:16:00,64036.1,2026-02-25 01:11:00,65300.6,SL,-2.1346674141616995
SHORT,2026-02-25 03:21:00,65582.7,2026-02-25 13:49:00,66611.4,SL,-1.7285539021723673
SHORT,2026-02-27 18:56:00,65275.0,2026-02-28 06:37:00,63607.8,TP,2.394117196476441
SHORT,2026-02-28 07:41:00,64151.4,2026-02-28 14:00:00,65307.2,SL,-1.9616754116044162
SHORT,2026-02-28 14:56:00,64368.5,2026-02-28 17:58:00,65422.8,SL,-1.7979129543177221
SHORT,2026-02-28 19:06:00,65636.2,2026-02-28 20:20:00,66848.8,SL,-2.007456129392021
LONG,2026-03-02 22:16:00,69180.0,2026-03-03 04:46:00,68139.1,SL,-1.664625614339396
LONG,2026-03-04 12:11:00,70894.3,2026-03-04 15:27:00,72720.1,TP,2.41538335239928
LONG,2026-03-04 15:38:00,72642.9,2026-03-05 15:24:00,71499.9,SL,-1.7334503991443073
LONG,2026-03-05 15:59:00,71611.7,2026-03-06 01:26:00,70516.8,SL,-1.6889401033629898
SHORT,2026-03-07 00:01:00,68105.8,2026-03-08 22:03:00,66000.0,TP,2.931953989234401
SHORT,2026-03-08 22:33:00,65944.6,2026-03-09 03:08:00,67060.0,SL,-1.851419767501803
LONG,2026-03-09 11:56:00,67790.3,2026-03-10 02:30:00,69645.8,TP,2.5771172571887124
LONG,2026-03-10 02:31:00,69729.1,2026-03-10 14:57:00,71485.7,TP,2.359177789473822
LONG,2026-03-10 17:31:00,71075.0,2026-03-10 18:43:00,69986.7,SL,-1.6911994372142143
LONG,2026-03-10 19:23:00,70094.4,2026-03-11 12:06:00,69036.1,SL,-1.669821041338521
LONG,2026-03-13 11:16:00,72336.0,2026-03-13 16:26:00,71142.6,SL,-1.8098009289980013
LONG,2026-03-15 08:16:00,71594.8,2026-03-16 03:33:00,73580.9,TP,2.614084151362936
LONG,2026-03-16 04:26:00,73580.0,2026-03-17 00:13:00,75434.3,TP,2.3601141614569214
SHORT,2026-03-19 00:01:00,71181.3,2026-03-19 12:50:00,69349.9,TP,2.412866750115562
SHORT,2026-03-19 12:51:00,69248.2,2026-03-19 19:10:00,70346.8,SL,-1.7464672294731212
SHORT,2026-03-19 19:36:00,70153.8,2026-03-20 08:10:00,71215.7,SL,-1.6736742414523433
LONG,2026-03-23 08:16:00,68558.6,2026-03-23 11:06:00,70580.0,TP,2.7884266014766843
SHORT,2026-03-22 06:01:00,69054.2,2026-03-23 11:06:00,70580.0,SL,-2.369568715588629
LONG,2026-03-23 11:52:00,70309.1,2026-03-24 17:05:00,69125.7,SL,-1.8431391669072832
SHORT,2026-03-26 12:01:00,69225.0,2026-03-27 10:37:00,67377.2,TP,2.5092668833513945
SHORT,2026-03-27 10:42:00,66995.4,2026-03-29 22:45:00,65217.1,TP,2.4943613442116854
SHORT,2026-04-02 11:16:00,66379.5,2026-04-04 15:17:00,67380.0,SL,-1.6672424468397622
LONG,2026-04-05 00:06:00,67245.1,2026-04-05 23:32:00,69031.0,TP,2.4958068915058402
LONG,2026-04-06 00:08:00,69318.1,2026-04-07 02:07:00,68263.0,SL,-1.6821132720025587
LONG,2026-04-07 02:41:00,68638.5,2026-04-07 22:06:00,70378.0,TP,2.374291978991382
LONG,2026-04-08 02:06:00,71571.8,2026-04-09 01:08:00,70491.4,SL,-1.669533084259455
LONG,2026-04-09 01:36:00,70772.1,2026-04-09 21:06:00,72547.6,TP,2.348756981918015
LONG,2026-04-13 16:21:00,72044.4,2026-04-13 22:16:00,74418.0,TP,3.134634975098697
LONG,2026-04-13 22:51:00,74320.7,2026-04-17 09:28:00,76275.5,TP,2.470222804682952
LONG,2026-04-17 14:02:00,77224.7,2026-04-18 11:02:00,76026.1,SL,-1.7120940838876566
LONG,2026-04-18 18:09:00,75793.8,2026-04-19 17:52:00,74610.2,SL,-1.7216053028084168
LONG,2026-04-20 18:01:00,75995.9,2026-04-21 19:44:00,74824.7,SL,-1.7011357717982116
LONG,2026-04-22 07:21:00,77826.0,2026-04-27 15:23:00,76645.5,SL,-1.676845270218179
LONG,2026-04-29 09:56:00,77605.8,2026-04-29 15:04:00,76401.2,SL,-1.7122035724134095
LONG,2026-05-01 09:06:00,77303.5,2026-05-03 22:15:00,79369.9,TP,2.513100183044745
LONG,2026-05-03 22:16:00,79111.0,2026-05-05 05:24:00,81124.5,TP,2.3851580690422316
LONG,2026-05-05 05:26:00,81060.5,2026-05-07 15:23:00,79790.6,SL,-1.7266076572436564
LONG,2026-05-10 07:56:00,80700.6,2026-05-13 15:13:00,79459.0,SL,-1.6985263554422219
LONG,2026-05-14 12:06:00,79321.8,2026-05-14 16:00:00,81443.1,TP,2.5142963472841044
LONG,2026-05-14 16:01:00,81315.7,2026-05-15 13:03:00,80075.0,SL,-1.6857816141286333
SHORT,2026-05-15 16:26:00,79187.9,2026-05-17 23:41:00,76750.8,TP,2.9176166560800216
