d,ets,ep,xts,xp,xt,pnl
SHORT,2025-11-20 18:55:00,86430.0,2025-11-20 22:10:53,87730.8,SL,-1.6650329746615793
SHORT,2025-11-20 22:35:42,87782.6,2025-11-21 02:57:50,85588.0,TP,2.340039871227334
SHORT,2025-11-21 03:05:00,85699.91,2025-11-21 07:33:56,83501.01,TP,2.4058136630481974
SHORT,2025-11-30 05:55:00,90808.03,2025-12-01 00:21:14,88511.15,TP,2.3693798356819373
SHORT,2025-12-01 02:05:00,87354.78,2025-12-01 12:48:31,85031.47,TP,2.4996254950215633
SHORT,2025-12-01 12:50:22,85146.02,2025-12-01 14:35:03,86445.46,SL,-1.6861312272728688
SHORT,2025-12-01 14:40:16,86367.15,2025-12-01 15:41:28,84207.57,TP,2.3404645863618136
SHORT,2025-12-01 15:51:18,84683.29,2025-12-01 21:20:53,85965.99,SL,-1.6747026054372849
SHORT,2025-12-01 23:35:00,86639.25,2025-12-02 14:07:23,87939.67,SL,-1.6609594381299446
LONG,2025-12-02 16:30:00,90256.36,2025-12-03 02:04:20,92524.54,TP,2.353041740216416
LONG,2025-12-03 02:05:00,92561.79,2025-12-04 19:20:23,91144.01,SL,-1.6917119515514973
SHORT,2025-12-05 10:05:00,91195.25,2025-12-05 16:17:20,88911.22,TP,2.3445493049254194
SHORT,2025-12-05 17:00:00,88797.09,2025-12-06 14:17:50,90130.66,SL,-1.661817232974647
SHORT,2025-12-06 15:20:00,89552.17,2025-12-07 17:30:28,90905.37,SL,-1.671074494342233
LONG,2025-12-09 19:10:00,93845.84,2025-12-09 21:48:22,92435.0,SL,-1.663359125987893
LONG,2025-12-09 21:57:50,92707.33,2025-12-11 00:42:15,91310.34,SL,-1.6668819261648513
SHORT,2025-12-12 18:15:00,90309.99,2025-12-14 22:39:55,88033.14,TP,2.3611496535433187
SHORT,2025-12-14 22:39:56,88040.99,2025-12-15 02:02:23,89369.03,SL,-1.6684337420558237
SHORT,2025-12-15 02:45:00,89448.0,2025-12-15 15:16:41,87188.16,TP,2.3664287630802217
SHORT,2025-12-15 16:40:00,86369.38,2025-12-16 13:30:07,87707.91,SL,-1.7097737739925871
SHORT,2025-12-16 13:30:40,87249.1,2025-12-17 14:52:57,88575.36,SL,-1.6800844478624932
SHORT,2025-12-17 15:42:06,89243.09,2025-12-17 16:14:59,86976.01,TP,2.380342339109954
SHORT,2025-12-17 18:45:00,85910.0,2025-12-18 09:33:42,87215.35,SL,-1.6794389477360094
SHORT,2025-12-18 16:20:00,88125.42,2025-12-18 17:17:52,85913.86,TP,2.34955967075107
SHORT,2025-12-18 17:45:00,86511.99,2025-12-19 07:04:03,87816.8,SL,-1.6682418055578163
SHORT,2025-12-22 16:00:00,89743.87,2025-12-23 06:13:36,87500.0,TP,2.3403044776205832
SHORT,2025-12-23 07:55:00,87625.65,2025-12-26 02:20:16,88970.59,SL,-1.6948702120897277
SHORT,2025-12-28 15:55:00,87828.02,2025-12-29 02:06:51,89149.99,SL,-1.665180237468636
SHORT,2025-12-29 08:00:00,89617.71,2025-12-29 12:05:18,87337.68,TP,2.3841734674987936
SHORT,2025-12-29 12:05:18,87337.68,2025-12-30 14:52:39,88647.91,SL,-1.6601886928986556
SHORT,2025-12-31 12:04:02,88935.99,2026-01-02 16:31:05,90283.49,SL,-1.675134649088631
LONG,2026-01-02 00:05:00,88720.0,2026-01-02 17:16:18,90955.99,TP,2.360277276825975
LONG,2026-01-02 17:20:00,90810.65,2026-01-03 07:27:55,89430.02,SL,-1.6803392994103556
LONG,2026-01-03 08:03:06,89639.8,2026-01-05 00:01:14,91884.59,TP,2.3442336105167496
LONG,2026-01-05 00:01:14,91884.59,2026-01-05 17:55:51,94182.23,TP,2.3405716410118385
LONG,2026-01-05 18:00:00,94335.04,2026-01-06 16:27:31,92917.33,SL,-1.6628456022279652
LONG,2026-01-12 05:45:00,92112.79,2026-01-12 08:37:27,90691.69,SL,-1.7027824952430506
LONG,2026-01-12 14:05:00,90607.14,2026-01-13 14:43:04,92890.38,TP,2.359933859517037
LONG,2026-01-13 15:05:00,92270.0,2026-01-13 22:09:10,94581.71,TP,2.345375528340746
LONG,2026-01-13 22:10:00,94707.99,2026-01-14 15:13:32,97084.67,TP,2.3494820405332146
LONG,2026-01-14 15:18:08,96782.01,2026-01-15 19:31:11,95203.46,SL,-1.791036594507583
LONG,2026-01-15 21:35:00,95474.62,2026-01-18 23:46:27,94026.81,SL,-1.6764344199536982
SHORT,2026-01-20 01:10:00,92621.9,2026-01-20 14:49:13,90300.9,TP,2.345886836698448
SHORT,2026-01-20 14:49:14,90306.28,2026-01-20 22:33:52,88048.05,TP,2.3406345073675894
SHORT,2026-01-20 22:35:56,88594.15,2026-01-21 05:41:43,89930.25,SL,-1.6681131203358301
SHORT,2026-01-25 03:00:00,89139.05,2026-01-25 18:44:49,86903.0,TP,2.348496556784039
SHORT,2026-01-26 12:05:00,87950.15,2026-01-27 20:47:15,89295.16,SL,-1.6892867607389066
