d,ets,ep,xts,xp,xt,pnl
LONG,2025-12-10 00:15:00,92545.8,2025-12-11 00:47:00,91142.5,SL,-1.67633029267671
SHORT,2025-12-13 00:00:00,90194.1,2025-12-14 23:11:00,87938.4,TP,2.3409396401760327
SHORT,2025-12-14 23:15:00,88138.1,2025-12-15 02:07:00,89467.6,SL,-1.6684282506657164
SHORT,2025-12-15 02:45:00,89332.5,2025-12-15 15:18:00,87042.0,TP,2.404016455377382
SHORT,2025-12-15 16:40:00,86439.0,2025-12-16 15:53:00,87790.0,SL,-1.722951908282141
SHORT,2025-12-16 16:02:00,87758.1,2025-12-17 14:54:00,89259.2,SL,-1.8704973785895445
SHORT,2025-12-17 18:45:00,85910.0,2025-12-18 09:34:00,87211.4,SL,-1.6748411127924505
SHORT,2025-12-18 20:05:00,85032.7,2025-12-19 03:07:00,86318.4,SL,-1.6720065574772964
SHORT,2025-12-22 19:55:00,88031.9,2025-12-26 02:36:00,89354.7,SL,-1.6626371122286387
SHORT,2025-12-29 12:00:00,87493.0,2025-12-30 14:53:00,88841.9,SL,-1.7017233378670227
LONG,2025-12-31 12:00:00,88957.5,2025-12-31 16:42:00,87446.5,SL,-1.8585639209734985
LONG,2026-01-02 00:55:00,88763.7,2026-01-04 00:05:00,91231.5,TP,2.620190550867081
LONG,2026-01-04 01:55:00,91213.1,2026-01-05 14:55:00,93552.6,TP,2.4048728088399582
LONG,2026-01-05 14:55:00,93552.6,2026-01-06 17:40:00,92074.1,SL,-1.7403943449994976
LONG,2026-01-12 06:05:00,92029.4,2026-01-12 08:40:00,90635.0,SL,-1.6751679789284666
LONG,2026-01-12 11:06:00,90510.0,2026-01-13 14:40:00,92778.3,TP,2.3461319191249617
LONG,2026-01-13 17:00:00,93320.1,2026-01-13 22:10:00,95908.7,TP,2.613893298442662
LONG,2026-01-13 22:11:00,95284.5,2026-01-14 17:16:00,97680.5,TP,2.3545747734416405
LONG,2026-01-14 17:35:00,96888.2,2026-01-15 19:30:00,95427.0,SL,-1.668129988997625
LONG,2026-01-15 21:45:00,95490.7,2026-01-18 23:47:00,93819.1,SL,-1.9105369632854206
SHORT,2026-01-21 00:40:00,88785.7,2026-01-21 15:08:00,90139.9,SL,-1.6852456195085437
SHORT,2026-01-25 04:00:00,88919.5,2026-01-25 19:24:00,86692.5,TP,2.3445125085048835
SHORT,2026-01-25 19:24:00,86692.5,2026-01-26 07:54:00,87999.0,SL,-1.6670507829397005
SHORT,2026-01-26 16:25:00,87836.1,2026-01-27 20:47:00,89192.5,SL,-1.7042397829593914
SHORT,2026-01-29 14:55:00,87421.5,2026-01-29 15:17:00,85220.0,TP,2.358259238288064
SHORT,2026-01-29 16:35:00,84437.7,2026-01-30 01:41:00,82190.0,TP,2.5019626067502987
SHORT,2026-01-30 04:40:00,82856.7,2026-01-30 19:03:00,84161.9,SL,-1.7352497987489208
SHORT,2026-01-30 20:10:00,83702.6,2026-01-31 14:26:00,81545.4,TP,2.4172198235180407
SHORT,2026-01-31 14:54:00,81398.1,2026-01-31 17:11:00,78740.8,TP,3.104572514591867
SHORT,2026-02-10 13:05:00,68505.7,2026-02-10 16:14:00,69642.0,SL,-1.8186940940680891
SHORT,2026-02-11 06:55:00,66729.0,2026-02-11 14:03:00,67746.9,SL,-1.6854237288135505
SHORT,2026-02-11 14:35:00,67571.9,2026-02-11 15:08:00,65848.8,TP,2.3900244924295326
SHORT,2026-02-11 16:15:00,66943.0,2026-02-11 21:25:00,68020.8,SL,-1.7700264404045276
SHORT,2026-02-11 23:20:00,66986.8,2026-02-12 01:37:00,68006.5,SL,-1.682240202547363
SHORT,2026-02-15 21:05:00,68613.5,2026-02-16 12:51:00,69734.8,SL,-1.794226500615772
SHORT,2026-02-23 03:45:00,64929.6,2026-02-23 07:39:00,65904.5,SL,-1.661472363914149
SHORT,2026-02-23 08:05:00,65771.7,2026-02-23 19:39:00,64123.5,TP,2.3459410050219125
SHORT,2026-02-23 19:39:00,64123.5,2026-02-24 13:32:00,62451.6,TP,2.4473124517532594
SHORT,2026-02-24 13:32:00,62451.6,2026-02-24 14:41:00,63405.1,SL,-1.686782340244285
SHORT,2026-02-24 16:30:00,63788.9,2026-02-25 01:10:00,64848.1,SL,-1.8204769795371873
SHORT,2026-02-25 03:20:00,65629.1,2026-02-25 14:47:00,66735.7,SL,-1.8461422753016437
SHORT,2026-02-27 21:00:00,65518.0,2026-02-28 06:36:00,63762.5,TP,2.519416343600232
SHORT,2026-02-28 07:40:00,64237.2,2026-02-28 14:00:00,65307.2,SL,-1.8257014938384613
SHORT,2026-02-28 14:55:00,64446.6,2026-02-28 17:58:00,65422.8,SL,-1.6747424379253588
SHORT,2026-02-28 19:06:00,65636.2,2026-02-28 20:20:00,66848.8,SL,-2.007456129392021
SHORT,2026-02-28 21:05:00,66491.2,2026-02-28 22:36:00,67707.9,SL,-1.9898662078590807
LONG,2026-03-03 00:03:00,68903.5,2026-03-03 05:49:00,67835.4,SL,-1.7101389624620023
LONG,2026-03-04 12:10:00,70921.3,2026-03-04 15:27:00,72720.1,TP,2.3763325263355335
LONG,2026-03-04 15:38:00,72642.9,2026-03-05 15:24:00,71499.9,SL,-1.7334503991443073
LONG,2026-03-05 15:59:00,71611.7,2026-03-06 01:26:00,70516.8,SL,-1.6889401033629898
SHORT,2026-03-08 00:00:00,67281.5,2026-03-09 09:35:00,68305.4,SL,-1.6818150606035747
SHORT,2026-03-09 09:53:00,68107.2,2026-03-09 13:43:00,69148.0,SL,-1.6881791058801463
SHORT,2026-03-09 14:06:00,68732.6,2026-03-10 02:32:00,69852.9,SL,-1.7899397956719059
LONG,2026-03-10 00:03:00,68450.1,2026-03-10 02:42:00,70372.5,TP,2.648469235253117
LONG,2026-03-10 03:05:00,70101.0,2026-03-11 12:06:00,69036.1,SL,-1.6790938788319627
LONG,2026-03-13 12:25:00,72337.6,2026-03-13 16:26:00,71142.6,SL,-1.8119762889562274
LONG,2026-03-13 19:45:00,71139.8,2026-03-15 22:52:00,72980.4,TP,2.427299936181984
LONG,2026-03-15 22:54:00,72658.3,2026-03-16 21:36:00,74607.5,TP,2.522694200112027
LONG,2026-03-16 21:36:00,74607.5,2026-03-17 13:52:00,73475.5,SL,-1.6772737325335925
SHORT,2026-03-20 00:05:00,69869.7,2026-03-20 04:08:00,70919.8,SL,-1.66294047348136
SHORT,2026-03-20 04:35:00,70647.8,2026-03-21 23:56:00,68855.9,TP,2.3763847140321546
SHORT,2026-03-22 07:55:00,68965.9,2026-03-23 11:06:00,70580.0,SL,-2.50043201060235
