ts,dir,entry,exit,type,pnl,month
2025-06-10 14:45:00,LONG,110172.46,108499.99,SL,-1.5180472506468479,2025-06
2025-06-12 11:25:00,LONG,108743.49,107109.29,SL,-1.5028026045513232,2025-06
2025-06-13 00:00:00,SHORT,107499.99,104777.01,TP,2.5988334654711176,2025-06
2025-06-13 08:10:00,SHORT,103704.58,105282.82,SL,-1.4990479928254197,2025-06
2025-06-14 00:50:00,SHORT,104627.49,106202.2,SL,-1.4827470617369443,2025-06
2025-06-15 05:55:00,SHORT,104507.32,106077.03,SL,-1.4797831349539048,2025-06
2025-06-17 00:05:00,LONG,107897.18,106277.47,SL,-1.5011606420112122,2025-06
2025-06-17 16:45:00,SHORT,106722.82,104044.54,TP,2.574166794336352,2025-06
2025-06-18 04:45:00,SHORT,103871.2,105431.37,SL,-1.4797967625764463,2025-06
2025-06-20 17:20:00,SHORT,105414.1,102772.15,TP,2.5706867084127394,2025-06
2025-06-22 13:30:00,SHORT,103314.1,100711.95,TP,2.5837549565865814,2025-06
2025-06-22 20:05:00,SHORT,101010.0,98480.18,TP,2.5688620796590733,2025-06
2025-06-25 13:15:00,LONG,104899.99,107527.23,TP,2.5045188278854935,2025-06
2025-07-01 14:40:00,LONG,107656.1,106024.52,SL,-1.515548120357324,2025-07
2025-07-03 09:40:00,LONG,107407.5,110099.98,TP,2.5067895631124326,2025-07
2025-07-04 13:55:00,LONG,109623.54,107972.23,SL,-1.506346173458728,2025-07
2025-07-07 18:25:00,LONG,109351.47,107700.02,SL,-1.5102220390818655,2025-07
2025-07-09 19:35:00,LONG,107970.0,110716.76,TP,2.5440029637862294,2025-07
2025-07-10 21:15:00,LONG,111295.98,114080.0,TP,2.501456027432436,2025-07
2025-07-13 14:15:00,LONG,116020.01,119021.46,TP,2.5870106372168244,2025-07
2025-07-22 23:15:00,LONG,117305.73,120239.99,TP,2.5013782361697157,2025-07
2025-07-25 03:00:00,LONG,117991.49,116220.0,SL,-1.5013709887043647,2025-07
2025-07-30 19:00:00,LONG,118163.55,116368.41,SL,-1.519199448560915,2025-07
2025-08-02 19:10:00,SHORT,114953.04,112060.0,TP,2.581688381224345,2025-08
2025-08-03 19:20:00,SHORT,112887.26,114580.88,SL,-1.4781000111013354,2025-08
2025-08-06 14:55:00,SHORT,113046.45,114743.99,SL,-1.4794151745986972,2025-08
2025-08-11 02:00:00,LONG,117322.01,120300.0,TP,2.5383046199089154,2025-08
2025-08-11 12:15:00,LONG,121879.8,120040.62,SL,-1.509011337399646,2025-08
2025-08-13 20:10:00,LONG,119844.06,122842.71,TP,2.5021265134041792,2025-08
2025-08-14 10:50:00,LONG,122939.99,121090.95,SL,-1.5040183426076492,2025-08
2025-08-19 17:00:00,SHORT,116194.61,113275.27,TP,2.5772085999000494,2025-08
2025-08-22 14:05:00,SHORT,113312.11,115015.3,SL,-1.4808377668014572,2025-08
2025-08-23 13:30:00,LONG,116648.83,114869.24,SL,-1.5255960989921546,2025-08
2025-08-25 20:30:00,SHORT,112634.16,109815.11,TP,2.5670875346753386,2025-08
2025-08-26 22:00:00,SHORT,109946.0,111667.29,SL,-1.5414451268585427,2025-08
2025-08-28 06:55:00,SHORT,111594.73,113271.56,SL,-1.4803627671411967,2025-08
2025-08-29 12:30:00,SHORT,109507.35,111180.5,SL,-1.5048951929519938,2025-08
2025-08-30 01:55:00,SHORT,110210.41,107422.01,TP,2.595743646949078,2025-08
2025-08-31 00:45:00,SHORT,107724.75,109350.47,SL,-1.4867060013550981,2025-08
2025-09-10 13:45:00,SHORT,112362.52,114057.75,SL,-1.4862909359513066,2025-09
2025-09-11 22:20:00,LONG,111953.22,114769.22,TP,2.515336316365002,2025-09
2025-09-22 06:00:00,LONG,115368.23,113558.69,SL,-1.568490736141126,2025-09
2025-09-22 06:00:00,SHORT,115294.74,112388.01,TP,2.586334609893015,2025-09
2025-09-25 17:10:00,SHORT,113010.87,110160.0,TP,2.5879357298475014,2025-09
2025-10-01 08:25:00,LONG,112184.67,115039.99,TP,2.5451962375964587,2025-10
2025-10-10 20:55:00,SHORT,117061.04,114125.11,TP,2.5725539278779186,2025-10
2025-10-10 23:40:00,SHORT,113104.41,114807.4,SL,-1.4833451502255013,2025-10
2025-10-11 02:40:00,SHORT,111308.81,112985.34,SL,-1.4838473734734126,2025-10
2025-10-11 20:55:00,SHORT,112815.2,109979.0,TP,2.5788559634111863,2025-10
2025-10-21 12:20:00,SHORT,107661.18,109299.75,SL,-1.4991525598183064,2025-10
2025-10-21 22:30:00,SHORT,111311.03,108399.07,TP,2.686333010052566,2025-10
2025-10-23 06:45:00,SHORT,108572.57,110203.01,SL,-1.4794877199814982,2025-10
2025-10-26 22:00:00,LONG,112501.22,115319.87,TP,2.50543949656723,2025-10
2025-10-28 20:10:00,LONG,114616.64,112888.01,SL,-1.5081841519695605,2025-10
2025-10-29 18:35:00,SHORT,112870.45,110045.59,TP,2.566990644513778,2025-10
2025-10-30 13:40:00,SHORT,110276.59,107438.75,TP,2.641356121511085,2025-10
2025-10-31 00:50:00,SHORT,107800.01,109419.75,SL,-1.4802994888948318,2025-10
2025-10-31 14:55:00,SHORT,109358.59,111000.0,SL,-1.478747747747755,2025-10
2025-11-04 05:45:00,SHORT,107623.79,104892.57,TP,2.60382599072555,2025-11
2025-11-04 16:50:00,SHORT,104886.08,102259.75,TP,2.56829299895609,2025-11
2025-11-05 03:35:00,SHORT,100706.48,102221.85,SL,-1.4824325719012266,2025-11
2025-11-12 09:10:00,SHORT,103138.83,104717.99,SL,-1.5080121381245037,2025-11
2025-11-12 15:50:00,SHORT,104963.35,102309.73,TP,2.593712250047009,2025-11
2025-11-13 06:20:00,SHORT,101900.01,103438.16,SL,-1.4870237444285617,2025-11
2025-11-13 16:15:00,SHORT,103457.02,100866.0,TP,2.568774413578412,2025-11
2025-11-13 18:25:00,SHORT,101348.27,98808.01,TP,2.5709049296712028,2025-11
2025-11-14 06:45:00,SHORT,99100.17,96611.1,TP,2.576380974856929,2025-11
2025-11-14 12:40:00,SHORT,97244.01,94807.31,TP,2.570160465474647,2025-11
2025-11-14 14:50:00,SHORT,95351.82,96800.0,SL,-1.4960537190082612,2025-11
2025-11-14 20:40:00,SHORT,96719.03,94300.0,TP,2.5652492046659647,2025-11
2025-11-15 02:20:00,SHORT,94377.47,95800.0,SL,-1.4848956158663884,2025-11
2025-11-16 17:55:00,SHORT,96316.02,93836.31,TP,2.642591124906768,2025-11
2025-11-17 07:40:00,SHORT,94357.67,95781.2,SL,-1.486231118424075,2025-11
2025-11-18 04:45:00,SHORT,91672.74,89374.29,TP,2.5717127375221693,2025-11
