ts,dir,entry,exit,type,pnl,ci,month
2025-06-12 08:05:00,LONG,109599.78,107499.99,SL,-1.91587063404689,673,2025-06
2025-06-13 00:02:42,SHORT,107510.82,104777.01,TP,2.6091697023994165,864,2025-06
2025-06-16 17:20:00,SHORT,104754.54,107899.23,SL,-2.9144693618295525,1936,2025-06
2025-06-17 09:40:00,LONG,107851.49,106208.32,SL,-1.5235487242688972,2132,2025-06
2025-06-17 16:31:26,SHORT,106714.05,104107.32,TP,2.5038873347234425,2214,2025-06
2025-06-18 04:46:02,SHORT,103871.21,105466.65,SL,-1.5127436018874119,2361,2025-06
2025-06-21 19:00:00,SHORT,105414.1,102645.22,TP,2.6975245413279003,3396,2025-06
2025-06-22 14:21:06,SHORT,102559.38,99911.01,TP,2.6507288836335574,3628,2025-06
2025-06-24 03:10:00,SHORT,100135.65,104907.3,SL,-4.548444197877566,4070,2025-06
2025-06-25 13:17:36,LONG,105016.55,107735.99,TP,2.5895346971501088,4479,2025-06
2025-07-03 13:57:10,LONG,107756.58,110450.82,TP,2.5003020697204725,6791,2025-07
2025-07-08 04:35:00,LONG,110261.54,107970.01,SL,-2.0782677259904014,8119,2025-07
2025-07-09 22:15:00,LONG,107983.66,111295.99,TP,3.0674363139756577,8619,2025-07
2025-07-10 21:20:00,LONG,111322.71,116203.22,TP,4.384109944862091,8896,2025-07
2025-07-27 16:16:54,LONG,116331.03,119252.28,TP,2.511152871250255,13731,2025-07
2025-08-01 01:00:00,LONG,119319.99,115424.62,SL,-3.2646415743078805,14988,2025-08
2025-08-02 19:12:32,SHORT,114953.04,112106.01,TP,2.539587306693014,15494,2025-08
2025-08-03 08:09:42,SHORT,112064.5,113773.09,SL,-1.5017523036422675,15649,2025-08
2025-08-07 20:00:00,SHORT,113745.24,117461.99,SL,-3.1642150792779877,16944,2025-08
2025-08-11 02:00:22,LONG,117322.01,120329.56,TP,2.5635002332469403,17880,2025-08
2025-08-11 19:51:40,LONG,120698.01,118880.0,SL,-1.5062468718415434,18094,2025-08
2025-08-13 18:00:00,LONG,118628.95,121804.94,TP,2.677246995779692,18648,2025-08
2025-08-18 02:00:00,LONG,121874.07,116222.4,SL,-4.637303078497346,19896,2025-08
2025-08-19 16:58:58,SHORT,116195.32,113356.32,TP,2.5044920300870688,20363,2025-08
2025-08-22 16:10:00,SHORT,113312.11,116638.2,SL,-2.851630083454648,21218,2025-08
2025-08-24 20:00:00,LONG,116252.01,112599.99,SL,-3.141468263645497,21840,2025-08
2025-08-25 20:35:00,SHORT,112658.46,109515.24,TP,2.870121089996247,22135,2025-08
2025-08-26 22:05:00,SHORT,109840.0,111674.4,SL,-1.6426325102261496,22441,2025-08
2025-08-29 13:45:50,SHORT,112127.99,109352.6,TP,2.5380192149066394,23205,2025-08
2025-09-05 12:05:00,SHORT,109334.94,112467.68,SL,-2.785458008914199,25201,2025-09
2025-09-11 01:15:12,SHORT,112368.64,114112.99,SL,-1.5286165054478107,26799,2025-09
2025-09-11 22:20:52,LONG,111953.23,114769.22,TP,2.515327159386116,27052,2025-09
2025-09-22 06:01:48,LONG,115025.9,113233.25,SL,-1.558475091262046,30024,2025-09
2025-09-22 09:35:00,SHORT,115232.29,112421.08,TP,2.500607537305277,30067,2025-09
2025-10-10 19:10:00,LONG,112184.68,117050.01,TP,4.3368934153932726,35366,2025-10
2025-10-10 19:15:00,SHORT,112250.0,116820.62,SL,-3.9125113357556196,35367,2025-10
2025-10-10 20:56:22,SHORT,116557.16,113600.0,TP,2.603133802816915,35387,2025-10
2025-10-21 05:00:00,SHORT,112566.63,107809.8,TP,4.41224267181648,38364,2025-10
2025-10-21 20:00:00,SHORT,107661.18,111797.44,SL,-3.6997806032052383,38544,2025-10
2025-10-21 22:31:58,SHORT,111322.49,108399.07,TP,2.6969050564732644,38574,2025-10
2025-10-26 11:15:00,SHORT,109189.55,112501.22,SL,-2.943674744149438,39879,2025-10
2025-10-27 02:10:00,LONG,112592.01,115411.08,TP,2.503792231793356,40058,2025-10
2025-10-29 00:00:00,LONG,115184.86,112898.45,SL,-1.9849917775652148,40608,2025-10
2025-10-29 18:40:00,SHORT,112870.45,109430.99,TP,3.1430401936416663,40832,2025-10
2025-10-30 13:42:10,SHORT,110151.85,107433.01,TP,2.530730545481319,41060,2025-10
2025-10-31 00:52:06,SHORT,107454.38,109095.56,SL,-1.5043508645081416,41194,2025-10
2025-11-03 15:26:54,SHORT,109358.58,106472.77,TP,2.7103737415679063,42233,2025-11
2025-11-04 08:17:32,SHORT,106421.99,103816.4,TP,2.5098057724983747,42435,2025-11
2025-11-04 17:16:40,SHORT,103760.0,101222.01,TP,2.5073499330827476,42543,2025-11
2025-11-04 21:35:26,SHORT,101517.77,99037.84,TP,2.5040227048570562,42595,2025-11
2025-11-04 23:45:00,SHORT,99284.68,101397.21,SL,-2.0834202440087046,42621,2025-11
2025-11-11 17:40:00,SHORT,101533.09,103138.83,SL,-1.556872421376121,44564,2025-11
2025-11-12 12:10:00,SHORT,102990.0,105103.99,SL,-2.0113318247956147,44786,2025-11
2025-11-12 15:47:36,SHORT,105147.78,102573.92,TP,2.509273312358551,44829,2025-11
2025-11-13 06:25:00,SHORT,101862.58,103520.68,SL,-1.6017089532255668,45005,2025-11
2025-11-13 16:20:00,SHORT,103457.03,100838.07,TP,2.5971936987687183,45124,2025-11
2025-11-13 18:32:04,SHORT,101343.59,98871.5,TP,2.500305952675941,45150,2025-11
2025-11-14 04:39:46,SHORT,99167.24,96741.21,TP,2.5077523839116767,45271,2025-11
2025-11-14 12:33:48,SHORT,97771.37,95369.12,TP,2.5188971021227857,45366,2025-11
2025-11-14 14:53:26,SHORT,95276.0,96730.5,SL,-1.5036622368332586,45394,2025-11
2025-11-14 20:40:16,SHORT,96940.0,94529.75,TP,2.5497264088818694,45464,2025-11
2025-11-15 02:28:46,SHORT,94406.0,95857.01,SL,-1.5137234094825147,45533,2025-11
2025-11-16 17:44:54,SHORT,96322.29,93957.53,TP,2.516839257055814,46004,2025-11
2025-11-17 21:50:00,SHORT,94030.0,91639.73,TP,2.608333743453861,46342,2025-11
2025-11-20 19:05:00,SHORT,91960.27,86119.56,TP,6.782094567134345,47173,2025-11
2025-11-30 06:10:00,SHORT,86896.7,90717.51,SL,-4.211766835311059,49898,2025-11
2025-12-01 02:05:00,SHORT,90871.0,87354.78,TP,4.025217624038424,50137,2025-12
2025-12-01 12:49:00,SHORT,87106.11,84945.98,TP,2.5429455284405433,50265,2025-12
2025-12-01 14:35:20,SHORT,85146.02,86443.31,SL,-1.5007407745029622,50287,2025-12
2025-12-01 15:42:56,SHORT,86070.08,83950.01,TP,2.5253957682673356,50300,2025-12
2025-12-01 21:25:00,SHORT,84683.29,86246.45,SL,-1.8124340190234012,50369,2025-12
2025-12-02 16:30:00,SHORT,86776.81,90256.36,SL,-3.855185385273685,50598,2025-12
2025-12-03 04:27:08,LONG,90756.67,93030.62,TP,2.505545873377679,50741,2025-12
2025-12-05 10:05:00,LONG,92814.44,91195.25,SL,-1.7445453530722133,51385,2025-12
2025-12-05 16:32:06,SHORT,91159.02,88930.3,TP,2.5061424508856955,51462,2025-12
2025-12-06 14:17:52,SHORT,88797.09,90152.03,SL,-1.5029500722279932,51723,2025-12
2025-12-07 17:30:30,SHORT,89552.17,90949.04,SL,-1.5358820719822863,52050,2025-12
2025-12-09 19:10:00,LONG,89495.88,93845.84,TP,4.860514249371017,52646,2025-12
2025-12-09 21:50:00,LONG,94046.96,92591.28,SL,-1.5478224920826844,52678,2025-12
2025-12-12 18:15:00,LONG,92730.0,90309.99,SL,-2.60973794888385,53499,2025-12
2025-12-14 22:35:00,SHORT,90438.09,88183.1,TP,2.5571679834344607,54127,2025-12
2025-12-15 02:05:00,SHORT,88064.97,89490.1,SL,-1.5925001759971247,54169,2025-12
2025-12-15 15:16:20,SHORT,89448.0,87260.01,TP,2.507437255622591,54327,2025-12
2025-12-16 13:30:10,SHORT,86369.38,87688.31,SL,-1.5041115514713321,54594,2025-12
2025-12-16 15:56:04,SHORT,86764.7,88099.99,SL,-1.515652839461168,54623,2025-12
2025-12-17 15:00:00,SHORT,87214.93,89688.0,SL,-2.7574145928106364,54900,2025-12
2025-12-17 18:45:00,SHORT,88589.92,85910.0,TP,3.119450587824457,54945,2025-12
2025-12-18 16:20:00,SHORT,85792.56,88125.42,SL,-2.6472044048130527,55204,2025-12
2025-12-18 19:16:38,SHORT,87611.45,85267.07,TP,2.7494553290033252,55239,2025-12
2025-12-22 16:00:00,SHORT,85521.66,89743.87,SL,-4.704733593503374,56352,2025-12
2025-12-23 08:50:00,SHORT,89686.0,87482.75,TP,2.5184965035964124,56554,2025-12
2025-12-29 08:00:00,SHORT,87510.55,89617.71,SL,-2.351276326967078,58272,2025-12
