ts,dir,entry,exit,type,pnl,candle,month
2026-03-03 00:10:00,SHORT,66492.02,68940.51,SL,-3.551598327311467,578,2026-03
2026-03-04 12:10:00,LONG,68946.2,70889.06,TP,2.8179363039587457,1010,2026-03
2026-03-04 15:30:00,LONG,70917.17,73000.0,TP,2.936989730413675,1050,2026-03
2026-03-05 15:18:06,LONG,72693.0,71594.5,SL,-1.5111496292627868,1335,2026-03
2026-03-08 00:15:00,LONG,71026.0,67395.99,SL,-5.110818573480125,2019,2026-03
2026-03-08 22:04:58,SHORT,67389.0,65743.97,TP,2.5021762452130503,2280,2026-03
2026-03-09 03:08:28,SHORT,66013.73,67055.89,SL,-1.5541662335702422,2341,2026-03
2026-03-09 09:35:26,SHORT,67263.93,68316.69,SL,-1.5409997176385581,2419,2026-03
2026-03-09 14:05:00,SHORT,67437.58,69068.07,SL,-2.3607001035355513,2473,2026-03
2026-03-10 02:35:00,SHORT,68755.34,70038.03,SL,-1.8314193017707647,2623,2026-03
2026-03-10 02:42:46,LONG,68569.76,70359.79,TP,2.610523939415854,2624,2026-03
2026-03-13 12:25:00,LONG,70048.31,72438.6,TP,3.4123449944759576,3605,2026-03
2026-03-13 17:45:00,LONG,72392.21,71199.0,SL,-1.64825745753584,3669,2026-03
2026-03-15 22:52:50,LONG,71169.71,73012.49,TP,2.58927569045877,4306,2026-03
2026-03-16 21:40:00,LONG,72680.88,74536.09,TP,2.5525420165523505,4580,2026-03
2026-03-20 00:00:00,LONG,74436.0,69930.01,SL,-6.053509054758455,5472,2026-03
2026-03-20 04:07:56,SHORT,69839.05,70929.99,SL,-1.5380518170099888,5521,2026-03
2026-03-22 07:45:28,SHORT,70649.6,68913.0,TP,2.519988971601883,6141,2026-03
2026-03-22 21:20:24,SHORT,69072.51,67376.01,TP,2.517958543404397,6304,2026-03
2026-03-23 05:00:44,SHORT,67653.14,68684.88,SL,-1.502135550065753,6396,2026-03
2026-03-23 11:05:50,SHORT,68610.81,69657.5,SL,-1.502623550945703,6469,2026-03
2026-03-27 00:05:00,LONG,70905.37,68790.01,SL,-2.983356549722538,7489,2026-03
2026-03-27 10:40:00,SHORT,68929.58,66984.09,TP,2.904406105987256,7616,2026-03
2026-04-06 00:05:00,SHORT,66919.46,69392.93,SL,-3.564440930797974,10369,2026-04
2026-04-08 02:05:00,LONG,68922.71,71509.79,TP,3.753595875728033,10969,2026-04
2026-04-09 01:10:00,LONG,71683.99,70569.73,SL,-1.5544056629660408,11246,2026-04
2026-04-13 20:15:00,LONG,71042.01,73070.16,TP,2.854860103198109,12627,2026-04
2026-04-14 13:42:12,LONG,73307.27,75151.87,TP,2.5162579373096072,12836,2026-04
2026-04-14 18:50:00,LONG,75187.4,73857.56,SL,-1.768700606750595,12898,2026-04
2026-04-17 16:25:00,LONG,74231.42,78163.78,TP,5.297433350998815,13733,2026-04
2026-04-18 11:07:18,LONG,77167.38,76002.55,SL,-1.509484966316077,13957,2026-04
2026-04-22 08:00:00,LONG,76049.99,78030.11,TP,2.6037084291529844,15072,2026-04
2026-05-04 02:00:24,LONG,78056.11,80071.38,TP,2.5818222301880134,18456,2026-05
2026-05-04 10:06:42,LONG,80167.99,78941.73,SL,-1.5296130038934597,18553,2026-05
2026-05-05 03:40:48,LONG,78967.68,80962.6,TP,2.526248713397705,18764,2026-05
2026-05-16 00:10:00,LONG,80912.01,79176.0,SL,-2.1455529284218677,21890,2026-05
2026-05-18 01:25:00,SHORT,79150.31,76958.77,TP,2.847680647702644,22481,2026-05
2026-05-22 12:32:40,SHORT,76782.68,77413.35,EOD,-0.8146786051760002,23766,2026-05
